"","playerID","age_season","total_games","prev_year_games"
"653","butlela01",22,42,NA
"654","buxtoby01",21,46,NA
"655","buxtoby01",22,92,46
"656","buxtoby01",23,140,92
"657","buxtoby01",24,28,140
"658","buxtoby01",25,87,28
"659","buxtoby01",27,61,87
"660","buxtoby01",28,92,61
"661","buxtoby01",29,85,92
"662","byrdma01",37,135,NA
"663","byrdma01",38,34,135
"664","cabaljo01",26,104,NA
"665","cabbatr01",26,22,NA
"666","cabreas01",29,143,NA
"667","cabreas01",30,141,143
"668","cabreas01",31,135,141
"669","cabreas01",32,147,135
"670","cabreas01",33,131,147
"671","cabreas01",35,108,131
"672","cabreev01",28,29,NA
"673","cabreme01",30,158,NA
"674","cabreme01",31,151,158
"675","cabreme01",32,156,151
"676","cabreme01",33,78,156
"677","cabreme01",34,133,78
"678","cabremi01",32,119,NA
"679","cabremi01",33,158,119
"680","cabremi01",34,130,158
"681","cabremi01",35,38,130
"682","cabremi01",36,136,38
"683","cabremi01",38,130,136
"684","cabremi01",39,112,130
"685","cabremi01",40,98,112
"686","cabreos01",23,44,NA
"687","cabreos01",24,115,44
"688","cabrera01",25,13,NA
"689","cabrera01",26,61,13
"690","cainlo01",29,140,NA
"691","cainlo01",30,103,140
"692","cainlo01",31,155,103
"693","cainlo01",32,141,155
"694","cainlo01",33,148,141
"695","cainlo01",35,78,148
"696","cainlo01",36,43,78
"697","calhoko01",27,159,NA
"698","calhoko01",28,157,159
"699","calhoko01",29,155,157
"700","calhoko01",30,137,155
"701","calhoko01",31,152,137
"702","calhoko01",33,51,152
"703","calhoko01",34,125,51
"704","calhoko01",35,43,125
"705","calhowi01",22,13,NA
"706","calhowi01",23,35,13
"707","calhowi01",24,83,35
"708","calhowi01",26,75,83
"709","calhowi01",27,22,75
"710","calhowi01",28,44,22
"711","calixor01",23,2,NA
"712","calixor01",25,29,2
"713","callaal01",32,97,NA
"714","callal01",27,47,NA
"715","callal01",28,128,47
"716","camarjo01",23,82,NA
"717","camarjo01",24,134,82
"718","camarjo01",25,98,134
"719","camarjo01",27,15,98
"720","camarjo01",28,52,15
"721","camarjo01",29,8,52
"722","camerda01",24,35,NA
"723","camerda01",25,21,35
"724","caminju01",19,7,NA
"725","campber01",28,71,NA
"726","campber01",29,40,71
"727","campber01",34,4,40
"728","campulu01",22,11,NA
"729","campulu01",23,16,11
"730","campulu01",24,49,16
"731","canaral01",23,6,NA
"732","candeje01",22,5,NA
"733","candeje01",23,38,5
"734","candeje01",24,144,38
"735","candeje01",25,94,144
"736","candeje01",27,149,94
"737","candeje01",28,124,149
"738","candeje01",29,140,124
"739","canhama01",26,124,NA
"740","canhama01",27,16,124
"741","canhama01",28,57,16
"742","canhama01",29,122,57
"743","canhama01",30,126,122
"744","canhama01",32,141,126
"745","canhama01",33,140,141
"746","canhama01",34,139,140
"747","canoro01",32,156,NA
"748","canoro01",33,161,156
"749","canoro01",34,150,161
"750","canoro01",35,80,150
"751","canoro01",36,107,80
"752","canoro01",39,33,107
"753","canzodo01",25,59,NA
"754","capelco01",25,22,NA
"755","capelco01",26,32,22
"756","capravi01",25,8,NA
"757","capravi01",26,9,8
"758","caratvi01",23,31,NA
"759","caratvi01",24,74,31
"760","caratvi01",25,93,74
"761","caratvi01",27,116,93
"762","caratvi01",28,94,116
"763","caratvi01",29,62,94
"764","cardust01",28,27,NA
"765","cardust01",29,15,27
"766","carlsdy01",22,149,NA
"767","carlsdy01",23,128,149
"768","carlsdy01",24,76,128
"769","carpeke01",24,31,NA
"770","carpeke01",25,118,31
"771","carpema01",29,154,NA
"772","carpema01",30,129,154
"773","carpema01",31,145,129
"774","carpema01",32,156,145
"775","carpema01",33,129,156
"776","carpema01",35,129,129
"777","carpema01",36,47,129
"778","carpema01",37,76,47
"779","carreez01",28,91,NA
"780","carreez01",29,110,91
"781","carreez01",30,131,110
"782","carroco02",21,32,NA
"783","carroco02",22,155,32
"784","cartech02",28,129,NA
"785","cartech02",29,160,129
"786","cartech02",30,62,160
"787","carteev01",20,23,NA
"788","casalcu01",26,38,NA
"789","casalcu01",27,84,38
"790","casalcu01",28,9,84
"791","casalcu01",29,52,9
"792","casalcu01",30,84,52
"793","casalcu01",32,77,84
"794","casalcu01",33,57,77
"795","casalcu01",34,40,57
"796","casastr01",22,27,NA
"797","casastr01",23,132,27
"798","cashnan01",28,6,NA
"799","casteni01",23,154,NA
"800","casteni01",24,110,154
"801","casteni01",25,157,110
"802","casteni01",26,157,157
"803","casteni01",27,151,157
"804","casteni01",29,138,151
"805","casteni01",30,136,138
"806","casteni01",31,157,136
"807","castidi02",24,94,NA
"808","castidi02",25,1,94
"809","castier01",28,4,NA
"810","castiiv01",26,3,NA
"811","castiru01",27,80,NA
"812","castiru01",28,9,80
"813","castiwe01",28,110,NA
"814","castiwe01",29,113,110
"815","castiwe01",30,96,113
"816","castiwe01",31,49,96
"817","castiwe01",32,72,49
"818","castiwi01",35,2,NA
"819","castrda01",22,33,NA
"820","castrda01",23,47,33
"821","castrda01",25,18,47
"822","castrha01",24,6,NA
"823","castrha01",25,97,6
"824","castrha01",27,103,97
"825","castrha01",28,116,103
"826","castrha01",29,97,116
"827","castrja01",28,104,NA
"828","castrja01",29,113,104
"829","castrja01",30,110,113
"830","castrja01",31,19,110
"831","castrja01",32,79,19
"832","castrja01",34,66,79
"833","castrja01",35,34,66
"834","castrro01",22,31,NA
"835","castrro01",23,71,31
"836","castrro01",24,92,71
"837","castrst01",25,151,NA
"838","castrst01",26,151,151
"839","castrst01",27,112,151
"840","castrst01",28,154,112
"841","castrst01",29,162,154
"842","castrst01",31,87,162
"843","castrwi01",22,30,NA
"844","castrwi01",24,125,30
"845","castrwi01",25,112,125
"846","castrwi01",26,121,112
"847","caveja01",25,91,NA
"848","caveja01",26,72,91
"849","caveja01",28,76,72
"850","caveja01",29,54,76
"851","caveja01",30,65,54
"852","cecchga01",24,2,NA
"853","cecchga02",22,4,NA
